Easy,Backtracking,2.6719,2712.2734375
Easy,Backtracking,0.3747,1980.96875
Easy,Backtracking,0.4337,1739.5
Easy,Backtracking,0.6468,1716.0625
Easy,Backtracking,0.502,1696.40625
Easy,Backtracking,0.3334,1683.609375
Easy,Backtracking,11.7604,1689.03125
Easy,Backtracking,0.3191,1683.578125
Easy,Backtracking,0.6234,1639.0859375
Medium,Backtracking,0.408,1663.8203125
Medium,Backtracking,0.2665,1662.921875
Medium,Backtracking,0.3097,1676.5703125
Medium,Backtracking,0.4012,1676.5703125
Medium,Backtracking,0.3547,1676.5703125
Medium,Backtracking,0.4753,1676.5703125
Medium,Backtracking,0.3156,1676.5703125
Medium,Backtracking,0.2912,1676.5703125
Medium,Backtracking,0.3718,1677.5625
Hard,Backtracking,4.1861,1677.9296875
Hard,Backtracking,0.3946,1677.9296875
Hard,Backtracking,0.3854,1677.9296875
Hard,Backtracking,0.3987,1677.9296875
Hard,Backtracking,0.3823,1677.9296875
Hard,Backtracking,0.3627,1677.9296875
Hard,Backtracking,0.3394,1677.9296875
Hard,Backtracking,0.395,1677.9296875
Hard,Backtracking,0.3831,1677.9296875
Easy,AC3_Backtracking,113.4712,10090.171875
Easy,AC3_Backtracking,1.6142,4387.171875
Easy,AC3_Backtracking,1.1076,2368.421875
Easy,AC3_Backtracking,37.5013,3969.140625
Easy,AC3_Backtracking,1.3319,2126.4296875
Easy,AC3_Backtracking,0.845,2126.4296875
Easy,AC3_Backtracking,897.7896,130946.203125
Easy,AC3_Backtracking,1.0309,2703.4296875
Easy,AC3_Backtracking,0.9858,2231.75
Medium,AC3_Backtracking,16.3128,7475.5703125
Medium,AC3_Backtracking,0.8563,2726.484375
Medium,AC3_Backtracking,1.0709,2110.0703125
Medium,AC3_Backtracking,35.9318,12658.1796875
Medium,AC3_Backtracking,0.8712,2336.421875
Medium,AC3_Backtracking,0.7538,2183.9375
Medium,AC3_Backtracking,31.1165,10678.609375
Medium,AC3_Backtracking,0.8852,2488.7734375
Medium,AC3_Backtracking,0.727,2168.453125
Hard,AC3_Backtracking,230.373,84242.5546875
Hard,AC3_Backtracking,0.88,2252.578125
Hard,AC3_Backtracking,0.7763,2166.40625
Hard,AC3_Backtracking,45.6639,20553.171875
Hard,AC3_Backtracking,0.7336,2381.484375
Hard,AC3_Backtracking,0.6832,2077.390625
Hard,AC3_Backtracking,80.0917,34784.9375
Hard,AC3_Backtracking,0.7679,2194.5078125
Hard,AC3_Backtracking,0.8853,2159.03125
Easy,Bitmasking,1.7148,2712.09375
Easy,Bitmasking,0.7306,1980.9921875
Easy,Bitmasking,0.4552,1739.4140625
Easy,Bitmasking,0.5107,1715.984375
Easy,Bitmasking,0.3066,1696.3125
Easy,Bitmasking,0.3053,1697.171875
Easy,Bitmasking,9.2998,1688.9453125
